#name1	zstart1	end1	size1	name2	zstart2+	end2+	strand2	size2	identity	idPct	score	length2
Same_gi	116645	117515	160910	Oeur_gi	130223	131225	+	155888	706/853	82.8%	44903	1002
Same_gi	126131	126255	160910	Oeur_gi	120867	120988	+	155888	114/121	94.2%	9639	121
Same_gi	126252	127138	160910	Oeur_gi	122768	123675	+	155888	807/883	91.4%	68124	907
Same_gi	127120	127916	160910	Oeur_gi	113082	113877	+	155888	725/795	91.2%	63445	795
Same_gi	128151	129021	160910	Oeur_gi	111230	112232	+	155888	706/853	82.8%	44903	1002
Same_gi	137131	152288	160910	Oeur_gi	131226	146411	+	155888	14778/15059	98.1%	1362762	15185
Same_gi	137728	137796	160910	Oeur_gi	110574	110641	+	155888	54/67	80.6%	3994	67
Same_gi	152047	152114	160910	Oeur_gi	96219	96287	+	155888	61/63	96.8%	4478	68
Same_gi	152269	158155	160910	Oeur_gi	146753	152505	+	155888	5171/5560	93.0%	425654	5752
Same_gi	158148	160910	160910	Oeur_gi	153209	155847	+	155888	2524/2618	96.4%	222099	2638
Same_gi	158921	158971	160910	Oeur_gi	153960	154010	+	155888	44/50	88.0%	3650	50
Same_gi	32429	32553	160910	Oeur_gi	33987	34103	-	155888	100/116	86.2%	7727	116
Same_gi	43814	43860	160910	Oeur_gi	141635	141681	-	155888	41/46	89.1%	3644	46
Same_gi	46841	46913	160910	Oeur_gi	54371	54443	-	155888	51/72	70.8%	3616	72
Same_gi	52897	58044	160910	Oeur_gi	54207	59258	-	155888	4674/4974	94.0%	400519	5051
Same_gi	77416	77474	160910	Oeur_gi	79265	79324	-	155888	51/58	87.9%	3826	59
Same_gi	84716	87518	160910	Oeur_gi	153209	155888	-	155888	2548/2658	95.9%	222682	2679
Same_gi	86695	86745	160910	Oeur_gi	153960	154010	-	155888	44/50	88.0%	3650	50
Same_gi	87511	93397	160910	Oeur_gi	146753	152505	-	155888	5171/5560	93.0%	425654	5752
Same_gi	93378	108535	160910	Oeur_gi	131226	146411	-	155888	14778/15059	98.1%	1362762	15185
Same_gi	93552	93619	160910	Oeur_gi	96219	96287	-	155888	61/63	96.8%	4478	68
Same_gi	107870	107938	160910	Oeur_gi	110574	110641	-	155888	54/67	80.6%	3994	67
Same_gi	116645	117515	160910	Oeur_gi	111230	112232	-	155888	706/853	82.8%	44903	1002
Same_gi	117750	118545	160910	Oeur_gi	113082	113877	-	155888	725/795	91.2%	63875	795
Same_gi	118527	119413	160910	Oeur_gi	122768	123675	-	155888	807/883	91.4%	68124	907
Same_gi	119410	126091	160910	Oeur_gi	114047	120988	-	155888	5749/6439	89.3%	431303	6941
Same_gi	128151	129021	160910	Oeur_gi	130223	131225	-	155888	706/853	82.8%	44903	1002
Same_gi	129967	136357	160910	Oeur_gi	123656	130138	-	155888	4806/6042	79.5%	298573	6482
Same_gi	136339	137141	160910	Oeur_gi	112309	113099	-	155888	665/781	85.1%	50141	790
Same_gi	137131	152288	160910	Oeur_gi	96044	111229	-	155888	14777/15059	98.1%	1362548	15185
Same_gi	137728	137796	160910	Oeur_gi	131814	131881	-	155888	54/67	80.6%	3994	67
Same_gi	147514	147553	160910	Oeur_gi	45451	45490	-	155888	37/39	94.9%	3467	39
Same_gi	147514	147587	160910	Oeur_gi	121994	122068	-	155888	57/73	78.1%	4051	74
Same_gi	152047	152114	160910	Oeur_gi	146168	146236	-	155888	62/63	98.4%	4692	68
Same_gi	152269	158155	160910	Oeur_gi	89950	95702	-	155888	5171/5560	93.0%	425654	5752
Same_gi	158148	160910	160910	Oeur_gi	86608	89246	-	155888	2524/2618	96.4%	222099	2638
Same_gi	158921	158971	160910	Oeur_gi	88445	88495	-	155888	44/50	88.0%	3650	50
